index name,date,open,high,low,close,return,Volatility_30d,VaR_5%_30d,CVaR_5%_30d,Cumulative,Rolling_Max,Drawdown,GARCH_vol
NIFTY CONSUMER DURABLES,2007-01-02,-,-,-,2341.59,,,,,,,,
NIFTY CONSUMER DURABLES,2007-01-03,-,-,-,2373.86,0.013781234118697139,,,,1.0137812341186971,1.0137812341186971,0.0,0.014128801275569305
NIFTY CONSUMER DURABLES,2007-01-04,-,-,-,2377.89,0.0016976569806137487,,,,1.015502286907614,1.015502286907614,0.0,0.014001854902246796
NIFTY CONSUMER DURABLES,2007-01-05,-,-,-,2380.15,0.0009504224333338751,,,,1.016467443062193,1.016467443062193,0.0,0.013294237419238762
NIFTY CONSUMER DURABLES,2007-01-08,-,-,-,2397.04,0.0070961914165073026,,,,1.02368049060681,1.02368049060681,0.0,0.012642065710129708
NIFTY CONSUMER DURABLES,2007-01-09,-,-,-,2408.22,0.004664085705703647,,,,1.0284550241502568,1.0284550241502568,0.0,0.012191568859198481
NIFTY CONSUMER DURABLES,2007-01-10,-,-,-,2380.33,-0.011581167833503492,,,,1.0165443139063628,1.0284550241502568,-0.011581167833503492,0.011683840378437482
NIFTY CONSUMER DURABLES,2007-01-11,-,-,-,2450.08,0.02930265971524948,,,,1.0463317660222327,1.0463317660222327,0.0,0.011877097092481265
NIFTY CONSUMER DURABLES,2007-01-12,-,-,-,2504.19,0.0220849931430811,,,,1.0694399959002217,1.0694399959002217,0.0,0.014461630231074586
NIFTY CONSUMER DURABLES,2007-01-15,-,-,-,2526.11,0.008753329419892264,,,,1.0788011564791444,1.0788011564791444,0.0,0.015253811663720257
NIFTY CONSUMER DURABLES,2007-01-16,-,-,-,2526.6,0.00019397413414301568,,,,1.079010415999385,1.079010415999385,0.0,0.014649688419699665
NIFTY CONSUMER DURABLES,2007-01-17,-,-,-,2537.06,0.004139950922187996,,,,1.0834774661661521,1.0834774661661521,0.0,0.013893255305868966
NIFTY CONSUMER DURABLES,2007-01-18,-,-,-,2503.5,-0.013227909470016508,,,,1.0691453243309035,1.0834774661661521,-0.013227909470016397,0.013227683986837322
NIFTY CONSUMER DURABLES,2007-01-19,-,-,-,2492.79,-0.004278010784901198,,,,1.0645715091027892,1.0834774661661521,-0.017449331115543254,0.013387116406551228
