Feature,Mean_Abs_SHAP
High,63.06807613696641
Low,55.817624019756444
Open,13.231283729989721
MA_20,9.40683638739902
MA_10,7.216837445290328
MA_5,1.9803157995273912
Return,1.0261333315818593
Volatility,0.0367583746550831
HL_Range,0.030596896425881297
Month,0.0205476287553844
Day_of_Week,0.0189431820689498
