sector,mae_t+1,rmse_t+1,mape_t+1,r2_t+1,n_steps
NIFTY 50_cleaned,111.4154969212201,160.3846467806294,1.2757648038733709,0.9992854442450543,4574
NIFTY AUTO_cleaned,110.66875280910088,165.8587652961167,1.6759559018821102,0.99919130938811,4574
NIFTY BANK_cleaned,314.27776628997714,439.2560782364649,1.8070193714452516,0.9990273112861835,4574
NIFTY CHEMICALS_cleaned,220.93741805849857,365.3404923076539,2.929415630480443,0.9983604893498852,4574
NIFTY CONSUMER DURABLES_cleaned,175.21771068192746,277.58404713776605,1.9447698266528441,0.9993727526847571,4574
NIFTY FINANCIAL SERVICES_cleaned,140.8249514318408,202.68216259970217,1.8797446550196037,0.9990734479782368,4574
NIFTY FMCG_cleaned,300.53615183206455,428.76597030165374,1.5461991282085485,0.9992654732529543,4574
NIFTY IT_cleaned,198.66234128269915,312.09681498865893,1.549576691333923,0.9992462771220435,4574
NIFTY MEDIA_cleaned,25.183350055532642,34.8257421982068,1.3375393981098795,0.996251124858731,4574
NIFTY METAL_cleaned,62.636542062004686,87.20758398577148,1.7633070901929722,0.9981504957276042,4574
NIFTY PHARMA_cleaned,123.55072372944069,179.16360251066882,1.3846287393784653,0.9987849032058022,4574
NIFTY PRIVATE BANK_cleaned,173.25568433276132,237.63361887129176,2.468993171733026,0.9989828575840378,4574
NIFTY PSU BANK_cleaned,50.5906512673367,70.41051186484579,1.6480865149102617,0.9971853021477438,4574
NIFTY REALTY_cleaned,8.94296853029211,15.140111384342152,2.1500513159573122,0.9975280960028017,4574
