"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","30 Jul 2025","-","-","-","31448.30"
"NIFTY CHEMICALS","29 Jul 2025","-","-","-","31175.44"
"NIFTY CHEMICALS","28 Jul 2025","-","-","-","30700.05"
"NIFTY CHEMICALS","25 Jul 2025","-","-","-","30747.37"
"NIFTY CHEMICALS","24 Jul 2025","-","-","-","31143.97"
"NIFTY CHEMICALS","23 Jul 2025","-","-","-","31152.64"
"NIFTY CHEMICALS","22 Jul 2025","-","-","-","31079.47"
"NIFTY CHEMICALS","21 Jul 2025","-","-","-","31141.42"
"NIFTY CHEMICALS","18 Jul 2025","-","-","-","31009.81"
"NIFTY CHEMICALS","17 Jul 2025","-","-","-","31284.65"
"NIFTY CHEMICALS","16 Jul 2025","-","-","-","31210.40"
"NIFTY CHEMICALS","15 Jul 2025","-","-","-","31346.14"
"NIFTY CHEMICALS","14 Jul 2025","-","-","-","30979.75"
"NIFTY CHEMICALS","11 Jul 2025","-","-","-","30928.99"
"NIFTY CHEMICALS","10 Jul 2025","-","-","-","31275.72"
"NIFTY CHEMICALS","09 Jul 2025","-","-","-","31555.95"
"NIFTY CHEMICALS","08 Jul 2025","-","-","-","31485.51"
"NIFTY CHEMICALS","07 Jul 2025","-","-","-","31541.35"
"NIFTY CHEMICALS","04 Jul 2025","-","-","-","31618.19"
"NIFTY CHEMICALS","03 Jul 2025","-","-","-","31684.74"
"NIFTY CHEMICALS","02 Jul 2025","-","-","-","31599.05"
"NIFTY CHEMICALS","01 Jul 2025","-","-","-","31573.93"
"NIFTY CHEMICALS","30 Jun 2025","-","-","-","31895.46"
"NIFTY CHEMICALS","27 Jun 2025","-","-","-","31535.25"
"NIFTY CHEMICALS","26 Jun 2025","-","-","-","30964.95"
"NIFTY CHEMICALS","25 Jun 2025","-","-","-","30966.37"
"NIFTY CHEMICALS","24 Jun 2025","-","-","-","30649.08"
"NIFTY CHEMICALS","23 Jun 2025","-","-","-","30405.71"
"NIFTY CHEMICALS","20 Jun 2025","-","-","-","30262.20"
"NIFTY CHEMICALS","19 Jun 2025","-","-","-","30240.17"
"NIFTY CHEMICALS","18 Jun 2025","-","-","-","30623.68"
"NIFTY CHEMICALS","17 Jun 2025","-","-","-","30846.66"
"NIFTY CHEMICALS","16 Jun 2025","-","-","-","30775.74"
"NIFTY CHEMICALS","13 Jun 2025","-","-","-","30618.12"
"NIFTY CHEMICALS","12 Jun 2025","-","-","-","30666.86"
"NIFTY CHEMICALS","11 Jun 2025","-","-","-","30944.30"
"NIFTY CHEMICALS","10 Jun 2025","-","-","-","30935.50"
"NIFTY CHEMICALS","09 Jun 2025","-","-","-","31073.15"
"NIFTY CHEMICALS","06 Jun 2025","-","-","-","30809.22"
"NIFTY CHEMICALS","05 Jun 2025","-","-","-","31013.52"
"NIFTY CHEMICALS","04 Jun 2025","-","-","-","30916.04"
"NIFTY CHEMICALS","03 Jun 2025","-","-","-","30552.41"
"NIFTY CHEMICALS","02 Jun 2025","-","-","-","30257.04"
"NIFTY CHEMICALS","30 May 2025","-","-","-","30160.49"
"NIFTY CHEMICALS","29 May 2025","-","-","-","30416.52"
"NIFTY CHEMICALS","28 May 2025","-","-","-","30449.19"
"NIFTY CHEMICALS","27 May 2025","-","-","-","30408.44"
"NIFTY CHEMICALS","26 May 2025","-","-","-","30343.72"
"NIFTY CHEMICALS","23 May 2025","-","-","-","30102.01"
"NIFTY CHEMICALS","22 May 2025","-","-","-","29971.50"
"NIFTY CHEMICALS","21 May 2025","-","-","-","29900.64"
"NIFTY CHEMICALS","20 May 2025","-","-","-","29723.95"
"NIFTY CHEMICALS","19 May 2025","-","-","-","30181.03"
"NIFTY CHEMICALS","16 May 2025","-","-","-","30043.50"
"NIFTY CHEMICALS","15 May 2025","-","-","-","29838.49"
"NIFTY CHEMICALS","14 May 2025","-","-","-","29529.44"
"NIFTY CHEMICALS","13 May 2025","-","-","-","29481.59"
"NIFTY CHEMICALS","12 May 2025","-","-","-","29717.21"
"NIFTY CHEMICALS","09 May 2025","-","-","-","29225.21"
"NIFTY CHEMICALS","08 May 2025","-","-","-","28949.88"
"NIFTY CHEMICALS","07 May 2025","-","-","-","29527.83"
"NIFTY CHEMICALS","06 May 2025","-","-","-","29221.42"
"NIFTY CHEMICALS","05 May 2025","-","-","-","29454.29"
"NIFTY CHEMICALS","02 May 2025","-","-","-","29287.58"
"NIFTY CHEMICALS","30 Apr 2025","-","-","-","29181.21"
"NIFTY CHEMICALS","29 Apr 2025","-","-","-","29452.25"
"NIFTY CHEMICALS","28 Apr 2025","-","-","-","29406.98"
"NIFTY CHEMICALS","25 Apr 2025","-","-","-","29031.18"
"NIFTY CHEMICALS","24 Apr 2025","-","-","-","29636.69"
"NIFTY CHEMICALS","23 Apr 2025","-","-","-","29495.66"
"NIFTY CHEMICALS","22 Apr 2025","-","-","-","29387.77"
"NIFTY CHEMICALS","21 Apr 2025","-","-","-","29283.84"
"NIFTY CHEMICALS","17 Apr 2025","-","-","-","28843.87"
"NIFTY CHEMICALS","16 Apr 2025","-","-","-","28776.96"
"NIFTY CHEMICALS","15 Apr 2025","-","-","-","28640.88"
"NIFTY CHEMICALS","11 Apr 2025","-","-","-","27974.31"
"NIFTY CHEMICALS","09 Apr 2025","-","-","-","26825.68"
"NIFTY CHEMICALS","08 Apr 2025","-","-","-","26909.86"
"NIFTY CHEMICALS","07 Apr 2025","-","-","-","26449.18"
"NIFTY CHEMICALS","04 Apr 2025","-","-","-","27329.69"
"NIFTY CHEMICALS","03 Apr 2025","-","-","-","27988.98"
"NIFTY CHEMICALS","02 Apr 2025","-","-","-","28170.30"
"NIFTY CHEMICALS","01 Apr 2025","-","-","-","27745.21"
"NIFTY CHEMICALS","28 Mar 2025","-","-","-","27879.52"
"NIFTY CHEMICALS","27 Mar 2025","-","-","-","27841.99"
"NIFTY CHEMICALS","26 Mar 2025","-","-","-","27692.34"
"NIFTY CHEMICALS","25 Mar 2025","-","-","-","27774.94"
"NIFTY CHEMICALS","24 Mar 2025","-","-","-","28090.93"
"NIFTY CHEMICALS","21 Mar 2025","-","-","-","27917.73"
"NIFTY CHEMICALS","20 Mar 2025","-","-","-","27493.30"
"NIFTY CHEMICALS","19 Mar 2025","-","-","-","27342.88"
"NIFTY CHEMICALS","18 Mar 2025","-","-","-","27044.00"
"NIFTY CHEMICALS","17 Mar 2025","-","-","-","26874.27"
"NIFTY CHEMICALS","13 Mar 2025","-","-","-","26393.94"
"NIFTY CHEMICALS","12 Mar 2025","-","-","-","26466.22"
"NIFTY CHEMICALS","11 Mar 2025","-","-","-","26385.42"
"NIFTY CHEMICALS","10 Mar 2025","-","-","-","26438.62"
"NIFTY CHEMICALS","07 Mar 2025","-","-","-","26543.20"
"NIFTY CHEMICALS","06 Mar 2025","-","-","-","26372.35"
"NIFTY CHEMICALS","05 Mar 2025","-","-","-","26068.04"
"NIFTY CHEMICALS","04 Mar 2025","-","-","-","25422.68"
"NIFTY CHEMICALS","03 Mar 2025","-","-","-","25256.95"
"NIFTY CHEMICALS","28 Feb 2025","-","-","-","25227.25"
